Land_area,Year_build,Bathrooms,Bedrooms,Driveway_size,Lounge_space,Parking_capacity,Rating,HousePrice
9144,23/04/1950,1,3,240,988,1,5,145000
7301,25/06/1950,3,4,672,495,2,5,198500
1680,25/05/1950,1,2,264,483,1,8,118000
18800,29/05/1950,2,3,566,790,2,5,190000
10690,03/04/1950,1,3,468,672,1,7,147000
9500,16/05/1950,1,3,514,1394,2,5,159000
9150,15/05/1950,1,3,296,1431,One,5,165000
7800,07/05/1950,1,2,244,1268,1,6,132000
9830,12/05/1950,1,3,576,1287,2,7,162000
8121,22/06/1950,2,3,460,953,2,5,172400
17120,12/05/1950,2,4,680,1120,2,4,134432
7175,06/06/1950,1,2,264,752,1,5,125000
10634,06/05/1950,1,3,270,1319,1,6,123000
8200,25/06/1950,2,4,434,847,2,5,219500
10020,05/04/1950,0,1,0,904,0,1,61000
8846,18/06/1950,1,2,576,914,2,5,148000
11143,26/06/1950,3,4,610,1580,2,5,340000
11394,02/07/1950,1,1,834,1856,3,2,394432
8123,22/06/1950,2,3,463,1007,2,5,179000
5000,07/04/1950,2,3,308,1026,1,6,127000
7200,28/06/1950,2,2,NaN,1301,2,5,187750
9245,28/06/1950,2,3,639,939,2,5,213500
9000,11/04/1950,1,2,NaN,784,2,3,76000
53107,14/06/1950,2,3,501,1079,2,5,240000
3182,26/06/1950,2,2,430,1269,2,5,192000
8410,24/03/1950,1,5,0,658,None,3,81000
7200,29/05/1950,1,3,352,1125,1,6,125000
9382,21/06/1950,2,3,577,1479,2,5,191000
12474,29/06/1950,2,3,846,1742,Three,NaN,426000
8405,14/03/1950,1,4,384,961,1,8,119000
12209,23/06/1950,2,3,560,804,2,5,215000
8339,12/05/1950,1,3,294,882,1,7,106500
7446,24/04/1950,1,2,0,788,0,5,100000
10134,23/04/1950,1,2,240,735,1,6,109000
9571,09/05/1950,1,3,NaN,1144,1,6,129000
7200,25/05/1950,NaN,2,600,894,2,5,123000
7590,15/05/1950,2,4,264,876,1,5,169500
8125,28/06/1950,2,2,438,1112,2,5,241000
